"image","xmin","ymin","xmax","ymax","label"
"1.png",657.4614810488058,375.85319949811793,700.6307437694704,422.4090338770389,"Door"
"1.png",655.1894145898235,431.4930991217064,700.6307437694704,475.7779171894605,"Door"
"1.png",655.1894145898235,517.7917189460477,700.6307437694704,560.9410288582184,"Door"
"1.png",607.4760189511942,564.3475533249687,651.78131490135,609.7678795483062,"Door"
"4.png",84.97866847826087,574.3847826086957,132.60765398550726,623.4902173913043,"Door"
"4.png",137.0728713768116,669.6195652173913,187.67866847826087,720.2130434782608,"Door"
"4.png",86.46707427536232,712.7728260869566,134.0960597826087,761.8782608695652,"Door"
"4.png",562.756929347826,696.404347826087,604.4322916666666,741.0456521739131,"Door"
"4.png",644.6192481884058,694.9163043478261,689.2714221014493,742.5336956521741,"Door"
"4.png",730.8072463768116,742.533695652174,778.5757699275362,787.1750000000001,"Door"
"4.png",668.433740942029,793.1271739130435,713.0859148550725,837.7684782608696,"Door"
"4.png",617.8279438405797,793.1271739130435,662.4801177536232,837.7684782608696,"Door"
"4.png",428.80040760869565,892.8260869565217,482.38301630434785,949.3717391304348,"Door"
"5.png",1120.3001159934497,875.4478260869564,1163.8950941593885,920.6739130434781,"Door"
"5.png",1054.1003343340612,944.9021739130434,1094.4660548580787,993.3586956521738,"Door"
"5.png",958.8372338973801,891.5999999999999,1010.5053561681225,944.9021739130434,"Door"
"5.png",910.398369268559,943.2869565217391,953.9933474344979,988.5130434782608,"Door"
"5.png",866.8033911026203,847.9891304347825,912.0129980895198,891.5999999999999,"Door"
"5.png",776.384177128821,910.9826086956521,828.0522993995634,964.2847826086955,"Door"
"5.png",616.5359238537118,600.8608695652174,673.0479325873363,655.7782608695652,"Door"
"5.png",603.6188932860263,825.3760869565217,655.2870155567687,875.4478260869565,"Door"
"5.png",572.9409456877729,885.1391304347826,622.9944391375545,931.9804347826087,"Door"
"5.png",411.47806359170306,680.0065217391303,464.7608146834061,733.3086956521738,"Door"
"7.png",1108.888888888889,711.9304347826086,1166.4770601114649,777.0847826086957,"Door"
"7.png",1005.9706906847134,791.0505529225908,1071.1267416401274,853.3630434782608,"Door"
"7.png",928.101263933121,794.515007898894,993.257314888535,851.7739130434782,"Door"
"7.png",969.4197352707005,645.186956521739,1032.9866142515923,705.5939968404423,"Door"
"7.png",845.4643212579617,645.186956521739,905.8528562898088,705.5939968404423,"Door"
"7.png",762.3611111111111,713.5195652173913,831.161773487261,785.0304347826087,"Door"
"7.png",646.8178244426751,940.7652173913043,724.6872511942676,1018.5497630331752,"Door"
"7.png",211.38194444444443,608.6369565217392,282.89744227707007,681.7369565217392,"Door"
"7.png",123.98024482484075,467.7014218009478,198.6713276273885,537.1260869565217,"Door"
"7.png",127.15858877388536,670.613043478261,201.8496715764331,737.9289099526065,"Door"
"6.png",433.41128650027105,810.3512732820677,531.246681874128,951.077971544311,"Door"
"6.png",827.1390971511586,598.088467614534,927.3607216804754,735.2969984202213,"Door"
"6.png",802.4814444260292,1224.3222748815167,892.3627911629761,1349.803652409317,"Door"
"6.png",1123.0315124281892,1450.6577503752746,1223.253136957506,1590.2116903633491,"Door"
"6.png",743.3103819257665,1381.467159518322,831.1161942915483,1510.4665971367283,"Door"
"6.png",1778.4491690091384,1353.321819865873,1854.0131408133257,1475.2849225711673,"Door"
"6.png",1648.7974334437722,1563.2391089850694,1729.9292247294097,1673.4750584124768,"Door"
"6.png",1477.7842954211878,1402.5761642576585,1562.893183847215,1537.439178515008,"Door"
"6.png",1378.3580320624012,1552.684606615401,1461.0806913329684,1661.7479051345897,"Door"
"6.png",1298.0217475911634,1277.0947867298578,1377.562670891871,1382.6398104265402,"Door"
"Cat10_4.jpg",1047.0875912408758,352.54658385093165,1179.6175182481752,459.6280120481927,"Door"
"Cat10_4.jpg",968.1766423357664,731.9254658385092,1099.6948905109489,839.9999999999998,"Door"
"Cat10_4.jpg",420.8583941605839,354.0372670807453,553.3883211678831,459.6280120481927,"Door"
"Cat10_3.jpg",798.2145985401459,352.54658385093165,931.7562043795618,459.6280120481927,"Door"
"Cat10_3.jpg",968.1766423357664,731.9254658385092,1100.7065693430657,839.9999999999998,"Door"
"Cat10_3.jpg",421.60395629076135,352.17938524283454,553.1222044659438,462.8571428571428,"Door"
"Cat10_1.jpg",863.9737226277372,354.2444444444444,995.4919708029196,462.18058278045817,"Door"
"Cat10_1.jpg",969.1883211678831,733.0995555555555,1100.7065693430657,838.6679169179733,"Door"
"Cat10_1.jpg",231.67445255474448,483.4339000301568,339.97633136094674,612.9779289806996,"Door"
"Cat10_2.jpg",864.985401459854,355.736,996.5036496350364,462.18058278045817,"Door"
"Cat10_2.jpg",969.1883211678831,733.0995555555555,1101.7182481751825,837.6558541917972,"Door"
"Cat10_2.jpg",584.7503649635036,500.6389663751507,696.3550295857988,629.1709325995173,"Door"
"8.png",974.0920447074294,563.0608695652173,1035.865350926763,631.9771739130434,"Door"
"8.png",976.2235371466141,648.1065217391304,1034.3997089737795,714.0902173913042,"Door"
"8.png",973.026298487837,780.0739130434782,1034.3997089737795,840.1923913043478,"Door"
"8.png",898.095007346293,854.5797788309636,961.1176113245931,913.5076086956522,"Door"
"Cat10_6.jpg",1049.1109489051094,356.4817777777778,1178.6058394160582,464.2047082328105,"Door"
"Cat10_6.jpg",969.1883211678831,707.0997625150783,1100.7065693430657,838.9999999999999,"Door"
"Cat10_6.jpg",453.2321167883211,544.4897466827503,562.1538461538462,673.7016925512664,"Door"
"Cat10_8.jpg",547.3182481751824,354.0372670807453,679.8481751824816,462.66415662650587,"Door"
"Cat10_8.jpg",861.9503649635036,454.56777108433727,972.2130177514794,585.1219879518071,"Door"
"Cat10_8.jpg",483.5824817518248,734.1614906832298,616.112408759124,839.9999999999998,"Door"
"Cat10_5.jpg",1048.0992700729926,358.50931677018633,1180.6291970802918,467.7243975903614,"Door"
"Cat10_5.jpg",969.1883211678831,731.9254658385092,1100.7065693430657,839.9999999999998,"Door"
"Cat10_5.jpg",782.0277372262773,545.6521084337348,893.1834319526628,675.1942771084337,"Door"
"Cat10_7.jpg",307.5503649635036,357.9733333333333,439.06861313868615,467.2408964113389,"Door"
"Cat10_7.jpg",595.8788321167882,354.9902222222222,727.3970802919706,461.1685200542822,"Door"
"Cat10_7.jpg",969.1883211678831,733.0995555555555,1100.7065693430657,838.9999999999998,"Door"
"Cat11_1.jpg",482.716842459605,230.49782608695656,612.2572374326751,340.47867298578205,"Door"
"Cat11_1.jpg",730.7066492829204,964.1739130434785,838.9999999999999,1098.2543478260873,"Door"
"Cat11_1.jpg",359.88396349413296,863.2369565217393,467.6540058348294,995.8108695652177,"Door"
"Cat11_2.jpg",500.7922464093357,584.5304347826088,631.8389250448834,695.1895734597157,"Door"
"Cat11_2.jpg",730.7066492829204,967.1869565217394,838.9999999999999,1101.2673913043482,"Door"
"Cat11_2.jpg",355.50847457627117,864.7434782608697,464.6414385098743,994.3043478260871,"Door"
"Cat11_3.jpg",355.50847457627117,418.81304347826097,466.14772217235185,549.8804347826089,"Door"
"Cat11_3.jpg",355.50847457627117,798.4565217391306,467.6540058348294,928.017391304348,"Door"
"Cat11_3.jpg",732.8943937418513,970.2000000000002,839,1101.267391304348,"Door"
"Cat11_4.jpg",359.88396349413296,420.31956521739136,467.6540058348294,551.3869565217392,"Door"
"Cat11_4.jpg",730.7066492829204,970.2000000000002,838.9999999999999,1098.2543478260873,"Door"
"Cat11_4.jpg",355.50847457627117,1048.539130434783,464.6414385098743,1178.1000000000004,"Door"
"Cat11_5.jpg",542.9681889587073,781.8847826086958,674.0148675942548,893.3459715639812,"Door"
"Cat11_5.jpg",731.8005215123859,970.2000000000002,839,1099.7608695652175,"Door"
"Cat11_5.jpg",359.88396349413296,1047.0326086956525,466.14772217235185,1176.59347826087,"Door"
"Cat11_6.jpg",542.9681889587073,450.4500000000001,675.5211512567323,564.9099526066351,"Door"
